english,japanese,parts_of_speech
If I were you, I would,私だったら〜をする,Phrase
Take advantage of,〜をうまく利用する,Phrase
Kick someone out,追い出す,Verb
Move out,引っ越す,Verb
Gross,気持ち悪い,Adjective
Put something back,元の場所に戻す,Verb
Common sense,常識,Noun
How do/can you tell?,どうやって分かるの？,Phrase
As long as,〜であるならば,Phrase
Attract,魅力がある,Verb
Lame,ださい,Adjective
24/7, Twenty-four-seven,いつも,Adverb
Gain weight,太る,Phrase
Turn over a new leaf,心機一転する,Phrase
Go through,つらいことを経験する,Verb
Quit cold turkey,Quit cold turkey,Phrase
End up,結局〜になる,Verb
Has been around for,〜からずっとある,Phrase
All the way,はるばる,Adverb
Whenever I,〜をするときはいつでも,Phrase
For the most part,全体的に,Phrase
How would you describe someone?,〜はどんな人ですか？,Phrase
Overwhelmed,圧倒される,Verb
As far as,〜に関する限りでは,Phrase
Look for,〜を求める,Verb
Have someone over,人を家に呼ぶ,Verb
Comes to mind,思い浮かぶ,Verb
That’s crazy,それは凄いね,Phrase
In one’s own world,自分だけの世界に入っている,Adjective
Drive someone crazy,イライラさせる,Verb
Me neither,私もです,Phrase
Tend to,〜する傾向がある,Phrase
Sort of,ちょっと / 〜みたいな,Adverb
